dataset,ticker,window_offset,split
FinCastPrice_NVDA,NVDA,0,train
FinCastPrice_NVDA,NVDA,3,train
FinCastPrice_NVDA,NVDA,6,train
FinCastPrice_NVDA,NVDA,12,train
FinCastPrice_NVDA,NVDA,15,train
FinCastPrice_NVDA,NVDA,18,train
FinCastPrice_NVDA,NVDA,24,train
FinCastPrice_NVDA,NVDA,27,train
FinCastPrice_NVDA,NVDA,30,train
FinCastPrice_NVDA,NVDA,33,train
FinCastPrice_NVDA,NVDA,36,train
FinCastPrice_NVDA,NVDA,39,train
FinCastPrice_NVDA,NVDA,42,train
FinCastPrice_NVDA,NVDA,45,train
FinCastPrice_NVDA,NVDA,48,train
FinCastPrice_NVDA,NVDA,51,train
FinCastPrice_NVDA,NVDA,54,train
FinCastPrice_NVDA,NVDA,57,train
FinCastPrice_NVDA,NVDA,60,train
FinCastPrice_NVDA,NVDA,63,train
FinCastPrice_NVDA,NVDA,66,train
FinCastPrice_NVDA,NVDA,69,train
FinCastPrice_NVDA,NVDA,72,train
FinCastPrice_NVDA,NVDA,75,train
FinCastPrice_NVDA,NVDA,78,train
FinCastPrice_NVDA,NVDA,81,train
FinCastPrice_NVDA,NVDA,84,train
FinCastPrice_NVDA,NVDA,90,train
FinCastPrice_NVDA,NVDA,93,train
FinCastPrice_NVDA,NVDA,96,train
FinCastPrice_NVDA,NVDA,99,train
FinCastPrice_NVDA,NVDA,102,train
FinCastPrice_NVDA,NVDA,105,train
FinCastPrice_NVDA,NVDA,108,train
FinCastPrice_NVDA,NVDA,114,train
FinCastPrice_NVDA,NVDA,117,train
FinCastPrice_NVDA,NVDA,123,train
FinCastPrice_NVDA,NVDA,126,train
FinCastPrice_NVDA,NVDA,129,train
FinCastPrice_NVDA,NVDA,132,train
FinCastPrice_NVDA,NVDA,135,train
FinCastPrice_NVDA,NVDA,138,train
FinCastPrice_NVDA,NVDA,141,train
FinCastPrice_NVDA,NVDA,144,train
FinCastPrice_NVDA,NVDA,147,train
FinCastPrice_NVDA,NVDA,150,train
FinCastPrice_NVDA,NVDA,153,train
FinCastPrice_NVDA,NVDA,156,train
FinCastPrice_NVDA,NVDA,162,train
FinCastPrice_NVDA,NVDA,165,train
FinCastPrice_NVDA,NVDA,168,train
FinCastPrice_NVDA,NVDA,171,train
FinCastPrice_NVDA,NVDA,174,train
FinCastPrice_NVDA,NVDA,177,train
FinCastPrice_NVDA,NVDA,180,train
FinCastPrice_NVDA,NVDA,183,train
FinCastPrice_NVDA,NVDA,189,train
FinCastPrice_NVDA,NVDA,192,train
FinCastPrice_NVDA,NVDA,195,train
FinCastPrice_NVDA,NVDA,198,train
FinCastPrice_NVDA,NVDA,201,train
FinCastPrice_NVDA,NVDA,210,train
FinCastPrice_NVDA,NVDA,213,train
FinCastPrice_NVDA,NVDA,216,train
FinCastPrice_NVDA,NVDA,219,train
FinCastPrice_NVDA,NVDA,222,train
FinCastPrice_NVDA,NVDA,225,train
FinCastPrice_NVDA,NVDA,228,train
FinCastPrice_NVDA,NVDA,231,train
FinCastPrice_NVDA,NVDA,234,train
FinCastPrice_NVDA,NVDA,240,train
FinCastPrice_NVDA,NVDA,246,train
FinCastPrice_NVDA,NVDA,249,train
FinCastPrice_NVDA,NVDA,252,train
FinCastPrice_NVDA,NVDA,255,train
FinCastPrice_NVDA,NVDA,258,train
